"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
257900,2018-05-08,10,2415,-309.85140980310456,2724.8514098031046,2415,1.0
257900,2018-05-08,11,2415,-301.4739713800501,2716.47397138005,2415,1.0
257900,2018-05-08,12,2394,-299.15716084398105,2693.157160843981,2394,1.0
257900,2018-05-08,13,2412,-298.31779411554123,2710.3177941155413,2412,1.0
257900,2018-05-08,14,2406,-299.0223803446397,2705.0223803446397,2406,1.0
257900,2018-05-08,15,2406,-304.856809007619,2710.856809007619,2406,1.0
257900,2018-05-08,16,2415,-319.30118441235356,2734.3011844123535,2415,1.0
257900,2018-05-08,17,2406,-341.50431375095684,2747.504313750957,2406,1.0
257900,2018-05-08,18,2340,-364.4796654854973,2704.479665485497,2340,1.0
257900,2018-05-08,19,2259,-377.405222155303,2636.405222155303,2259,1.0
257900,2018-05-08,20,2274,-371.4265427467289,2645.426542746729,2274,1.0
257900,2018-05-08,21,2406,-345.7950761932045,2751.7950761932043,2406,1.0
257900,2018-05-08,22,2493,-309.89248425968884,2802.892484259689,2493,1.0
257900,2018-05-08,23,2421,-278.9716947529953,2699.971694752995,2421,1.0
257900,2018-05-09,0,2439,-266.54823890068513,2705.548238900685,2439,1.0
257900,2018-05-09,1,2403,-278.82550575132666,2681.8255057513265,2403,1.0
257900,2018-05-09,2,2364,-310.2844481357837,2674.284448135784,2364,1.0
257900,2018-05-09,3,2358,-346.1496700417945,2704.1496700417947,2358,1.0
257900,2018-05-09,4,2334,-369.3274695669003,2703.3274695669,2334,1.0
257900,2018-05-09,5,2346,-368.0919321939531,2714.091932193953,2346,1.0
257900,2018-05-09,6,2379,-341.5272187365989,2720.527218736599,2379,1.0
257900,2018-05-09,7,2427,-299.1481693963672,2726.1481693963674,2427,1.0
257900,2018-05-09,8,2457,-255.64510344503833,2712.6451034450383,2457,1.0
257900,2018-05-09,9,2481,-223.51407614544385,2704.514076145444,2481,1.0
257900,2018-05-09,10,2484,-207.92928804587396,2691.929288045874,2484,1.0
257900,2018-05-09,11,2484,-205.96362290041367,2689.9636229004136,2484,1.0
257900,2018-05-09,12,2469,-210.3635859823066,2679.363585982306,2469,1.0
